,DCP (Dark Channel Prior),CLAHE (LAB),"MSRCR (σ=[15,80,250])"
Entropy,7.2847,7.5397,7.0495
Kontrast (Std),59.9373,55.302,87.6909
Renk Canlılığı,41.5547,22.2258,39.263
Kenar Yoğunluğu,48.4527,64.2747,83.1883
Ort. Parlaklık,88.6297,145.0336,136.6746
PSNR (dB),19.5552,13.176,12.3789
SSIM,0.8642,0.6952,0.5992
İşlem Süresi (ms),118.6586,85.4078,2703.2155
