Dosya,Yöntem,Entropy,Kontrast (Std),Renk Canlılığı,Kenar Yoğunluğu,Ort. Parlaklık,PSNR (dB),SSIM,İşlem Süresi (ms)
1400_1.png,DCP (Dark Channel Prior),7.6818,61.6438,91.1357,47.9933,110.0206,20.229,0.9032,44.04
1401_1.png,DCP (Dark Channel Prior),7.5524,55.7278,92.6251,34.4662,92.303,20.7104,0.8983,38.48
1402_1.png,DCP (Dark Channel Prior),6.6861,81.6132,38.939,32.5125,84.2175,23.5622,0.9015,37.99
1403_1.png,DCP (Dark Channel Prior),6.9667,41.6854,43.7453,42.1941,64.1301,25.6963,0.8937,37.83
1404_1.png,DCP (Dark Channel Prior),6.8799,85.8684,43.3388,50.6274,109.0519,21.4121,0.9258,40.72
1405_1.png,DCP (Dark Channel Prior),7.0894,74.5931,56.5009,47.5191,108.8667,18.4182,0.9234,38.72
1406_1.png,DCP (Dark Channel Prior),7.1497,79.0657,49.7097,51.4899,100.6079,20.293,0.9213,37.62
1407_1.png,DCP (Dark Channel Prior),7.7721,59.412,34.6077,64.0823,102.7997,17.1452,0.901,38.99
1408_1.png,DCP (Dark Channel Prior),7.6808,58.6038,42.8108,67.4093,95.6336,17.2447,0.9042,39.12
1409_1.png,DCP (Dark Channel Prior),7.8851,70.0178,41.4793,69.7498,112.0423,19.1383,0.9069,38.65
1410_1.png,DCP (Dark Channel Prior),6.9474,55.7569,30.6415,35.8419,75.1303,15.6009,0.8314,38.53
1411_1.png,DCP (Dark Channel Prior),6.2902,92.5885,39.7401,39.5294,117.2097,19.3607,0.9141,38.61
1412_1.png,DCP (Dark Channel Prior),7.2593,70.8926,36.9439,58.2966,80.6392,15.0542,0.818,37.97
1413_1.png,DCP (Dark Channel Prior),7.1624,63.2174,34.501,56.9691,81.9165,16.4946,0.8264,39.3
1414_1.png,DCP (Dark Channel Prior),7.3543,77.3737,36.1228,76.3003,97.0043,15.6071,0.8105,38.91
1415_1.png,DCP (Dark Channel Prior),6.8178,52.0105,31.5144,26.0698,60.682,15.1852,0.7814,38.97
1416_1.png,DCP (Dark Channel Prior),7.3041,42.0608,34.7009,39.8011,89.7012,11.4987,0.7899,45.77
1417_1.png,DCP (Dark Channel Prior),7.6423,61.8447,34.847,74.8295,91.635,16.3661,0.8929,38.73
1418_1.png,DCP (Dark Channel Prior),7.7839,71.561,37.7038,81.8078,101.5852,17.4804,0.9064,39.22
1419_1.png,DCP (Dark Channel Prior),7.7466,62.4002,40.2012,78.4253,97.3909,19.2583,0.9348,38.64
1420_1.png,DCP (Dark Channel Prior),7.5008,58.5726,45.5434,61.7024,86.5753,18.0514,0.8933,38.1
1421_1.png,DCP (Dark Channel Prior),7.354,46.0726,41.7712,50.4859,78.011,18.4028,0.891,38.4
1422_1.png,DCP (Dark Channel Prior),7.2,48.6462,36.3508,33.0938,64.5962,21.5742,0.844,38.3
1423_1.png,DCP (Dark Channel Prior),7.2892,49.2304,38.1446,37.9147,69.9116,21.906,0.8074,38.44
1424_1.png,DCP (Dark Channel Prior),7.42,45.6644,45.2789,47.7775,78.5573,19.2183,0.8918,39.01
1425_1.png,DCP (Dark Channel Prior),7.5184,65.1598,40.5127,65.7895,80.5947,23.3613,0.923,39.56
1426_1.png,DCP (Dark Channel Prior),7.3063,51.1214,33.8066,63.9042,65.7465,23.3467,0.8964,38.35
1427_1.png,DCP (Dark Channel Prior),6.8111,34.018,33.2882,33.4061,50.5157,16.0613,0.8062,39.08
1428_1.png,DCP (Dark Channel Prior),7.3666,50.2977,33.583,48.6693,69.9241,20.4652,0.8924,38.75
1429_1.png,DCP (Dark Channel Prior),7.11,59.8529,31.4085,51.1791,62.3199,23.9634,0.8863,39.46
1430_1.png,DCP (Dark Channel Prior),6.6747,39.03,31.328,28.9877,43.6082,23.2648,0.7946,37.85
1431_1.png,DCP (Dark Channel Prior),6.7278,74.0359,37.3649,39.8624,66.2558,24.7003,0.9166,39.66
1432_1.png,DCP (Dark Channel Prior),6.7981,41.0411,35.9208,34.8811,45.8808,24.1512,0.8856,39.21
1433_1.png,DCP (Dark Channel Prior),6.953,51.8349,34.2682,40.2003,54.755,20.7696,0.8754,38.87
1434_1.png,DCP (Dark Channel Prior),7.1647,40.293,63.965,28.0528,94.8309,15.7504,0.8529,38.69
1435_1.png,DCP (Dark Channel Prior),7.7451,74.8908,79.8132,46.9475,145.2078,18.0339,0.8911,39.04
1436_1.png,DCP (Dark Channel Prior),7.4874,52.4431,86.9043,35.5966,137.6724,15.4185,0.8883,39.28
1437_1.png,DCP (Dark Channel Prior),6.9708,63.3068,26.7467,46.168,67.7681,16.7826,0.8573,39.25
1438_1.png,DCP (Dark Channel Prior),6.8549,91.9703,28.4916,46.0714,106.4133,19.6996,0.8669,38.55
1439_1.png,DCP (Dark Channel Prior),7.6025,60.6837,35.3012,75.0376,85.315,15.8369,0.8742,39.44
1440_1.png,DCP (Dark Channel Prior),6.5895,77.9001,21.8726,34.8201,82.0942,16.4771,0.8431,38.47
1441_1.png,DCP (Dark Channel Prior),7.0922,70.2162,42.2932,35.1662,80.8356,21.0788,0.9011,38.31
1442_1.png,DCP (Dark Channel Prior),7.1555,54.985,44.8125,46.1561,68.4352,18.167,0.891,39.48
1443_1.png,DCP (Dark Channel Prior),7.354,59.7002,42.6659,36.2985,74.2076,16.3335,0.8559,38.32
1444_1.png,DCP (Dark Channel Prior),7.1944,52.8143,36.6136,48.8506,59.4157,24.1197,0.8803,37.98
1445_1.png,DCP (Dark Channel Prior),7.2692,46.7298,39.5685,50.6032,71.3399,21.8244,0.9347,39.37
1446_1.png,DCP (Dark Channel Prior),7.494,62.038,44.3238,65.9931,85.0259,22.5302,0.9378,39.85
1447_1.png,DCP (Dark Channel Prior),7.3094,52.6773,40.3857,48.3523,65.9791,19.294,0.9173,39.84
1448_1.png,DCP (Dark Channel Prior),7.3077,66.1227,38.5563,44.0307,78.0993,21.2571,0.9331,39.48
1449_1.png,DCP (Dark Channel Prior),7.507,65.1868,43.3711,60.2473,82.6689,22.4263,0.943,39.78
