Dosya,Yöntem,Entropy,Kontrast (Std),Renk Canlılığı,Kenar Yoğunluğu,Ort. Parlaklık,PSNR (dB),SSIM,İşlem Süresi (ms)
1400_9.png,DCP (Dark Channel Prior),7.6042,58.5322,91.8716,46.9283,117.8859,18.6655,0.8386,115.82
1400_9.png,CLAHE (LAB),7.5868,48.6559,42.5754,54.7235,154.5526,12.592,0.7078,191.49
1400_9.png,"MSRCR (σ=[15,80,250])",7.3455,88.7096,75.3042,78.3698,129.7803,11.9801,0.5467,2303.61
1400_2.png,DCP (Dark Channel Prior),7.6698,61.1962,91.2267,47.838,110.7208,20.1331,0.8949,127.16
1400_2.png,CLAHE (LAB),7.7458,55.7642,53.4184,65.7385,137.02,15.7397,0.7359,115.7
1400_2.png,"MSRCR (σ=[15,80,250])",7.3055,93.52,66.5274,81.4607,128.5863,13.3725,0.5913,2932.66
1400_5.png,DCP (Dark Channel Prior),7.6344,59.6517,91.5202,47.2131,113.087,19.6154,0.8697,127.76
1400_5.png,CLAHE (LAB),7.6797,52.5727,48.1478,60.816,144.4991,14.3292,0.7259,122.15
1400_5.png,"MSRCR (σ=[15,80,250])",7.3438,92.0083,71.2769,81.0582,128.1294,12.7757,0.566,2930.52
1400_7.png,DCP (Dark Channel Prior),7.6136,58.7066,91.7438,46.8621,115.0026,19.1117,0.8533,130.44
1400_7.png,CLAHE (LAB),7.6358,50.5718,45.1845,57.7387,149.3442,13.4544,0.7178,119.55
1400_7.png,"MSRCR (σ=[15,80,250])",7.349,90.4995,73.6009,79.8806,128.704,12.3728,0.5557,2978.85
1401_1.png,DCP (Dark Channel Prior),7.5524,55.7278,92.6251,34.4662,92.303,20.7104,0.8983,131.02
1401_1.png,CLAHE (LAB),7.7099,55.985,64.5032,57.9387,123.1023,17.3245,0.7069,129.39
1401_1.png,"MSRCR (σ=[15,80,250])",7.1596,96.2408,63.7264,63.8206,132.7296,12.3877,0.5661,2904.56
1400_4.png,DCP (Dark Channel Prior),7.6452,60.191,91.4182,47.4424,112.2495,19.8255,0.8782,128.32
1400_4.png,CLAHE (LAB),7.7013,53.5778,49.7806,62.4142,141.9017,14.81,0.7299,117.66
1400_4.png,"MSRCR (σ=[15,80,250])",7.336,92.6258,69.875,81.4496,128.0873,12.9804,0.573,3243.57
1400_1.png,DCP (Dark Channel Prior),7.6818,61.6438,91.1357,47.9933,110.0206,20.229,0.9032,98.22
1400_1.png,CLAHE (LAB),7.7683,56.886,55.4382,67.2977,134.5361,16.2515,0.7392,97.54
1400_1.png,"MSRCR (σ=[15,80,250])",7.2774,93.817,64.6232,81.0555,129.1442,13.5432,0.6014,3671.88
1400_8.png,DCP (Dark Channel Prior),7.6026,58.4032,91.8812,46.7875,116.1986,18.8424,0.8454,120.34
1400_8.png,CLAHE (LAB),7.6126,49.6232,43.8364,56.1993,151.9415,13.0062,0.7129,112.23
1400_8.png,"MSRCR (σ=[15,80,250])",7.3469,89.6254,74.5356,79.1893,129.1964,12.1754,0.5508,3567.74
1400_10.png,DCP (Dark Channel Prior),7.624,59.355,91.8198,47.5975,120.4108,18.505,0.8318,182.43
