Dosya,Yöntem,Entropy,Kontrast (Std),Renk Canlılığı,Kenar Yoğunluğu,Ort. Parlaklık,PSNR (dB),SSIM,İşlem Süresi (ms)
1400_1.png,DCP (Dark Channel Prior),7.6818,61.6438,91.1357,47.9933,110.0206,20.229,0.9032,38.98
1400_1.png,CLAHE (LAB),7.7683,56.886,55.4382,67.2977,134.5361,16.2515,0.7392,81.24
1400_1.png,"MSRCR (σ=[15,80,250])",7.2774,93.817,64.6232,81.0555,129.1442,13.5432,0.6014,941.79
1401_1.png,DCP (Dark Channel Prior),7.5524,55.7278,92.6251,34.4662,92.303,20.7104,0.8983,30.88
1401_1.png,CLAHE (LAB),7.7099,55.985,64.5032,57.9387,123.1023,17.3245,0.7069,1.42
1401_1.png,"MSRCR (σ=[15,80,250])",7.1596,96.2408,63.7264,63.8206,132.7296,12.3877,0.5661,903.4
1402_1.png,DCP (Dark Channel Prior),6.6861,81.6132,38.939,32.5125,84.2175,23.5622,0.9015,32.36
1402_1.png,CLAHE (LAB),7.4191,72.8616,26.243,58.986,132.0056,13.6516,0.6051,1.47
1402_1.png,"MSRCR (σ=[15,80,250])",6.4823,93.1633,34.7219,75.0445,135.3557,11.4498,0.5471,942.29
1403_1.png,DCP (Dark Channel Prior),6.9667,41.6854,43.7453,42.1941,64.1301,25.6963,0.8937,32.95
1403_1.png,CLAHE (LAB),7.4776,46.7714,28.0356,66.7857,117.2721,12.7771,0.5637,1.37
1403_1.png,"MSRCR (σ=[15,80,250])",7.1632,98.2986,53.1968,104.2931,126.7385,8.9573,0.3939,955.06
1404_1.png,DCP (Dark Channel Prior),6.8799,85.8684,43.3388,50.6274,109.0519,21.4121,0.9258,32.03
1404_1.png,CLAHE (LAB),7.2566,70.783,27.0503,65.1291,145.7542,16.5459,0.7868,1.35
1404_1.png,"MSRCR (σ=[15,80,250])",6.9827,92.2054,34.1036,84.0736,134.8372,15.462,0.6754,958.81
1405_1.png,DCP (Dark Channel Prior),7.0894,74.5931,56.5009,47.5191,108.8667,18.4182,0.9234,31.75
1405_1.png,CLAHE (LAB),7.5954,67.9818,30.3147,69.5075,151.093,16.471,0.7944,1.43
1405_1.png,"MSRCR (σ=[15,80,250])",7.0816,88.2996,33.8911,85.7003,139.5794,15.2653,0.7018,943.68
1406_1.png,DCP (Dark Channel Prior),7.1497,79.0657,49.7097,51.4899,100.6079,20.293,0.9213,31.94
1406_1.png,CLAHE (LAB),7.5471,68.1267,30.4801,71.6916,139.4109,17.2709,0.7859,1.44
1406_1.png,"MSRCR (σ=[15,80,250])",7.0045,88.0765,40.9546,85.6012,137.6998,14.4834,0.6711,948.72
1407_1.png,DCP (Dark Channel Prior),7.7721,59.412,34.6077,64.0823,102.7997,17.1452,0.901,33.38
1407_1.png,CLAHE (LAB),7.7414,57.8961,19.0524,89.6554,150.085,17.2402,0.8203,1.34
1407_1.png,"MSRCR (σ=[15,80,250])",7.1722,86.0777,27.6859,106.083,143.2687,16.9422,0.7388,916.96
1408_1.png,DCP (Dark Channel Prior),7.6808,58.6038,42.8108,67.4093,95.6336,17.2447,0.9042,32.2
1408_1.png,CLAHE (LAB),7.8076,58.1174,25.3155,96.497,140.6057,16.7933,0.8067,1.47
1408_1.png,"MSRCR (σ=[15,80,250])",6.9744,91.0064,35.1727,113.412,138.3628,15.6162,0.6865,924.23
1409_1.png,DCP (Dark Channel Prior),7.8851,70.0178,41.4793,69.7498,112.0423,19.1383,0.9069,32.12
1409_1.png,CLAHE (LAB),7.8109,62.5407,28.3442,83.5237,148.671,17.2646,0.82,1.51
1409_1.png,"MSRCR (σ=[15,80,250])",7.1702,86.1375,37.6043,90.4039,140.664,16.716,0.7556,910.23
1410_1.png,DCP (Dark Channel Prior),6.9474,55.7569,30.6415,35.8419,75.1303,15.6009,0.8314,31.74
1410_1.png,CLAHE (LAB),7.5907,52.8732,19.0006,61.3325,134.6296,15.948,0.7851,1.44
1410_1.png,"MSRCR (σ=[15,80,250])",7.064,88.9996,25.1479,74.3824,136.8882,12.4997,0.569,911.43
1411_1.png,DCP (Dark Channel Prior),6.2902,92.5885,39.7401,39.5294,117.2097,19.3607,0.9141,31.83
1411_1.png,CLAHE (LAB),6.9133,65.6414,21.6233,47.7376,165.2622,14.3279,0.7477,1.37
1411_1.png,"MSRCR (σ=[15,80,250])",6.7048,102.6761,28.2704,63.6825,133.6398,15.7288,0.6641,954.11
1412_1.png,DCP (Dark Channel Prior),7.2593,70.8926,36.9439,58.2966,80.6392,15.0542,0.818,31.95
1412_1.png,CLAHE (LAB),7.6807,60.8922,20.1544,73.3119,134.7212,15.3277,0.7642,1.37
1412_1.png,"MSRCR (σ=[15,80,250])",6.9233,86.1157,31.5031,75.7592,138.0408,14.5649,0.6974,919.42
1413_1.png,DCP (Dark Channel Prior),7.1624,63.2174,34.501,56.9691,81.9165,16.4946,0.8264,32.79
1413_1.png,CLAHE (LAB),7.5439,53.8571,17.1825,69.1193,152.2628,12.976,0.7498,1.42
1413_1.png,"MSRCR (σ=[15,80,250])",7.0677,80.4302,39.6493,81.214,137.2304,14.2443,0.6976,924.22
1414_1.png,DCP (Dark Channel Prior),7.3543,77.3737,36.1228,76.3003,97.0043,15.6071,0.8105,32.23
1414_1.png,CLAHE (LAB),7.5368,58.3027,16.589,79.823,152.1413,14.33,0.7529,1.44
1414_1.png,"MSRCR (σ=[15,80,250])",6.7308,89.8196,29.1219,78.3803,137.2618,17.2095,0.7295,919.73
1415_1.png,DCP (Dark Channel Prior),6.8178,52.0105,31.5144,26.0698,60.682,15.1852,0.7814,32.59
1415_1.png,CLAHE (LAB),7.5574,50.0129,17.1166,44.2567,136.6226,14.3053,0.7682,1.41
1415_1.png,"MSRCR (σ=[15,80,250])",6.7674,82.8961,26.5816,57.0352,140.2829,12.0715,0.6321,937.36
1416_1.png,DCP (Dark Channel Prior),7.3041,42.0608,34.7009,39.8011,89.7012,11.4987,0.7899,32.41
1416_1.png,CLAHE (LAB),7.5754,56.7863,21.1268,61.6099,152.8073,18.1215,0.8449,1.45
1416_1.png,"MSRCR (σ=[15,80,250])",7.2825,83.0202,33.1649,76.3486,143.1589,16.0064,0.7044,926.86
1417_1.png,DCP (Dark Channel Prior),7.6423,61.8447,34.847,74.8295,91.635,16.3661,0.8929,31.93
1417_1.png,CLAHE (LAB),7.7742,61.2462,17.8264,93.133,139.9356,16.3718,0.811,1.52
1417_1.png,"MSRCR (σ=[15,80,250])",6.8944,86.7372,26.2316,104.6049,142.8688,15.7514,0.7783,926.63
1418_1.png,DCP (Dark Channel Prior),7.7839,71.561,37.7038,81.8078,101.5852,17.4804,0.9064,30.66
1418_1.png,CLAHE (LAB),7.8721,65.1322,22.6065,101.4055,136.0971,15.8323,0.7765,1.51
1418_1.png,"MSRCR (σ=[15,80,250])",6.9757,92.3149,34.1861,115.2637,137.6548,16.1516,0.7327,917.94
1419_1.png,DCP (Dark Channel Prior),7.7466,62.4002,40.2012,78.4253,97.3909,19.2583,0.9348,31.65
1419_1.png,CLAHE (LAB),7.8897,64.8194,27.0054,110.2107,131.7456,16.3905,0.7919,1.51
1419_1.png,"MSRCR (σ=[15,80,250])",7.0366,92.2063,42.1148,130.5467,137.2077,15.2033,0.7094,918.42
1420_1.png,DCP (Dark Channel Prior),7.5008,58.5726,45.5434,61.7024,86.5753,18.0514,0.8933,31.42
1420_1.png,CLAHE (LAB),7.7666,56.9994,22.8742,78.2143,134.995,14.392,0.7666,1.5
1420_1.png,"MSRCR (σ=[15,80,250])",7.0582,89.4022,43.635,97.1203,131.5589,14.4726,0.6198,929.46
1421_1.png,DCP (Dark Channel Prior),7.354,46.0726,41.7712,50.4859,78.011,18.4028,0.891,30.61
1421_1.png,CLAHE (LAB),7.6732,52.3741,27.4096,74.6155,127.415,15.6595,0.7219,1.53
1421_1.png,"MSRCR (σ=[15,80,250])",7.1972,87.4308,39.5951,93.1757,138.4255,11.7286,0.5796,929.81
1422_1.png,DCP (Dark Channel Prior),7.2,48.6462,36.3508,33.0938,64.5962,21.5742,0.844,31.04
1422_1.png,CLAHE (LAB),7.5263,50.809,24.3334,51.7236,116.607,14.0221,0.5987,1.5
1422_1.png,"MSRCR (σ=[15,80,250])",6.9884,98.2072,43.4574,72.7185,132.9137,9.5934,0.507,935.68
1423_1.png,DCP (Dark Channel Prior),7.2892,49.2304,38.1446,37.9147,69.9116,21.906,0.8074,31.63
1423_1.png,CLAHE (LAB),7.5077,49.4867,22.0716,53.7033,122.5086,11.4367,0.533,1.55
1423_1.png,"MSRCR (σ=[15,80,250])",6.9042,94.388,43.0307,75.7811,137.7703,8.0284,0.4137,954.47
1424_1.png,DCP (Dark Channel Prior),7.42,45.6644,45.2789,47.7775,78.5573,19.2183,0.8918,31.36
1424_1.png,CLAHE (LAB),7.6725,52.8221,30.4525,73.1379,132.0916,14.372,0.6849,1.52
1424_1.png,"MSRCR (σ=[15,80,250])",7.1614,88.1655,48.5909,92.172,141.3617,11.1156,0.591,943.52
1425_1.png,DCP (Dark Channel Prior),7.5184,65.1598,40.5127,65.7895,80.5947,23.3613,0.923,31.87
1425_1.png,CLAHE (LAB),7.769,58.4447,25.3313,93.265,126.6326,12.9409,0.665,1.31
1425_1.png,"MSRCR (σ=[15,80,250])",7.0784,83.3955,44.1905,120.1193,129.4342,12.4847,0.5616,914.44
1426_1.png,DCP (Dark Channel Prior),7.3063,51.1214,33.8066,63.9042,65.7465,23.3467,0.8964,31.36
1426_1.png,CLAHE (LAB),7.7609,58.7585,24.8031,105.0985,115.7052,13.416,0.6257,1.51
1426_1.png,"MSRCR (σ=[15,80,250])",7.0465,90.2662,44.5717,138.6487,130.1908,10.5069,0.4979,905.71
1427_1.png,DCP (Dark Channel Prior),6.8111,34.018,33.2882,33.4061,50.5157,16.0613,0.8062,32.13
1427_1.png,CLAHE (LAB),7.4646,51.1619,24.9304,63.0773,115.2973,14.5921,0.6365,1.55
1427_1.png,"MSRCR (σ=[15,80,250])",6.7521,89.5324,46.2122,87.9162,140.5284,9.6298,0.5307,903.89
1428_1.png,DCP (Dark Channel Prior),7.3666,50.2977,33.583,48.6693,69.9241,20.4652,0.8924,32.2
1428_1.png,CLAHE (LAB),7.7938,59.765,23.4526,83.2365,120.1095,14.135,0.6693,1.39
1428_1.png,"MSRCR (σ=[15,80,250])",7.0971,90.6115,39.696,105.671,133.1785,11.2093,0.5296,908.27
1429_1.png,DCP (Dark Channel Prior),7.11,59.8529,31.4085,51.1791,62.3199,23.9634,0.8863,31.32
1429_1.png,CLAHE (LAB),7.6727,54.8429,21.6703,73.4613,116.8456,12.3536,0.5793,1.56
