Dosya,Yöntem,Entropy,Kontrast (Std),Renk Canlılığı,Kenar Yoğunluğu,Ort. Parlaklık,PSNR (dB),SSIM,İşlem Süresi (ms)
1401_5.png,DCP (Dark Channel Prior),7.5708,55.9197,93.8174,35.1833,95.8342,20.9417,0.8713,91.72
1401_5.png,CLAHE (LAB),7.653,52.8114,58.7584,54.2513,131.1208,15.6278,0.6958,10.12
1401_5.png,"MSRCR (σ=[15,80,250])",7.2554,95.5811,69.2715,63.9498,131.0029,12.1198,0.5404,1802.75
1401_7.png,DCP (Dark Channel Prior),7.5871,55.9818,94.4164,35.4668,98.0124,20.8846,0.8586,122.0
1401_7.png,CLAHE (LAB),7.6243,51.3134,56.2538,52.3465,135.0292,14.808,0.6895,112.84
1401_7.png,"MSRCR (σ=[15,80,250])",7.2822,95.0917,71.5801,63.4065,130.7062,11.9145,0.5309,2593.66
1401_8.png,DCP (Dark Channel Prior),7.5934,55.9657,94.7144,35.549,99.0807,20.7706,0.8527,121.69
1401_8.png,CLAHE (LAB),7.6126,50.6278,55.078,51.354,137.2927,14.368,0.6867,118.77
1401_8.png,"MSRCR (σ=[15,80,250])",7.2902,94.7873,72.6345,63.0088,130.6836,11.8053,0.5285,2675.73
1402_1.png,DCP (Dark Channel Prior),6.6861,81.6132,38.939,32.5125,84.2175,23.5622,0.9015,121.16
1402_1.png,CLAHE (LAB),7.4191,72.8616,26.243,58.986,132.0056,13.6516,0.6051,111.28
1402_1.png,"MSRCR (σ=[15,80,250])",6.4823,93.1633,34.7219,75.0445,135.3557,11.4498,0.5471,2705.02
1401_9.png,DCP (Dark Channel Prior),7.6115,56.4107,94.9696,35.8336,100.7545,20.6962,0.8477,94.89
1401_9.png,CLAHE (LAB),7.5991,49.9406,53.9346,50.446,139.4103,13.9549,0.6828,90.64
1401_9.png,"MSRCR (σ=[15,80,250])",7.3017,94.4208,73.5809,62.7468,130.7607,11.6954,0.5269,3051.76
1402_4.png,DCP (Dark Channel Prior),6.7194,80.9235,38.1492,32.5587,86.8461,23.7513,0.8754,130.91
1402_4.png,CLAHE (LAB),7.4069,70.2687,22.6812,55.0976,139.0089,12.5406,0.5906,128.54
