,DCP (Dark Channel Prior),CLAHE (LAB),"MSRCR (σ=[15,80,250])"
Entropy,7.2356,7.6333,7.025
Kontrast (Std),60.4895,59.0496,89.1557
Renk Canlılığı,42.5213,26.6031,40.8954
Kenar Yoğunluğu,49.2432,72.1256,88.2725
Ort. Parlaklık,83.5026,133.1805,136.3198
PSNR (dB),19.4004,14.9699,12.6993
SSIM,0.8811,0.7108,0.6034
İşlem Süresi (ms),31.9994,3.0186,935.2558
