,DCP (Dark Channel Prior),CLAHE (LAB),"MSRCR (σ=[15,80,250])"
Entropy,7.0572,6.5354,7.7996
Kontrast (Std),34.7929,24.5823,62.694
Renk Canlılığı,107.345,36.5495,161.2958
Kenar Yoğunluğu,20.2228,21.1801,46.8754
Ort. Parlaklık,117.7836,169.5114,138.4868
İşlem Süresi (ms),31.45,32.47,726.955
