Dosya,Yöntem,Entropy,Kontrast (Std),Renk Canlılığı,Kenar Yoğunluğu,Ort. Parlaklık,PSNR (dB),SSIM,İşlem Süresi (ms)
0021_0.8_0.08.jpg,CLAHE (LAB),7.4148,62.4337,22.9078,102.7134,159.0823,18.9035,0.8447,4.1
0021_0.8_0.08.jpg,"MSRCR (σ=[15,80,250])",6.7453,93.3082,41.7106,135.7068,141.5777,15.0834,0.6676,1011.12
0019_0.8_0.16.jpg,DCP (Dark Channel Prior),7.4554,54.6359,35.4799,66.2111,79.5999,14.5679,0.8748,66.69
0019_0.8_0.16.jpg,CLAHE (LAB),7.6634,58.7356,12.33,98.2936,142.4093,15.3127,0.7916,3.65
0019_0.8_0.16.jpg,"MSRCR (σ=[15,80,250])",6.7293,99.5807,28.4444,151.2563,129.2224,14.22,0.6293,1067.46
0018_0.9_0.2.jpg,DCP (Dark Channel Prior),7.7237,55.8917,102.1712,57.5528,113.278,16.2789,0.888,84.8
0018_0.9_0.2.jpg,CLAHE (LAB),7.5097,54.0337,30.3496,80.9985,156.678,16.6139,0.8467,5.11
0018_0.9_0.2.jpg,"MSRCR (σ=[15,80,250])",7.1726,85.828,62.5606,124.9877,136.9827,14.6738,0.634,1536.4
0029_0.85_0.08.jpg,DCP (Dark Channel Prior),7.4885,59.3855,86.7874,50.0293,84.8384,14.0872,0.821,106.19
0029_0.85_0.08.jpg,CLAHE (LAB),7.68,56.2692,30.2365,77.4221,142.4625,17.1976,0.7974,119.17
0029_0.85_0.08.jpg,"MSRCR (σ=[15,80,250])",7.1275,91.9671,47.9095,110.6454,131.9117,16.6293,0.6369,1333.8
0040_1_0.08.jpg,DCP (Dark Channel Prior),7.8057,62.8446,55.9733,79.566,111.9222,19.7086,0.9127,63.42
0040_1_0.08.jpg,CLAHE (LAB),7.7857,64.1981,22.7705,122.0348,147.2385,17.5252,0.8115,127.64
0040_1_0.08.jpg,"MSRCR (σ=[15,80,250])",7.0788,91.1754,30.9009,158.4389,139.5826,15.2953,0.6816,1643.74
0024_0.85_0.08.jpg,DCP (Dark Channel Prior),6.9451,69.8312,43.1263,20.8541,58.1058,14.4129,0.843,102.88
0024_0.85_0.08.jpg,CLAHE (LAB),7.5043,66.7951,14.5751,42.2444,115.4417,15.3132,0.5617,157.5
0024_0.85_0.08.jpg,"MSRCR (σ=[15,80,250])",6.1329,102.1405,21.6088,72.7329,116.5532,14.7021,0.5536,1826.93
0030_0.95_0.12.jpg,DCP (Dark Channel Prior),7.6909,59.0524,63.2241,86.7043,94.5554,21.6842,0.9594,93.36
0030_0.95_0.12.jpg,CLAHE (LAB),7.816,62.5987,26.8998,132.1548,133.9985,15.4292,0.7759,122.31
0030_0.95_0.12.jpg,"MSRCR (σ=[15,80,250])",7.0048,94.6702,40.3692,182.1146,129.5858,13.7359,0.6264,2175.84
0033_0.85_0.08.jpg,DCP (Dark Channel Prior),7.4356,49.5746,72.8663,73.2851,84.8754,14.8404,0.8415,84.59
0033_0.85_0.08.jpg,CLAHE (LAB),7.6472,53.6884,34.6687,103.1012,137.8141,20.2132,0.8481,134.49
0033_0.85_0.08.jpg,"MSRCR (σ=[15,80,250])",7.0095,82.8251,58.4369,135.3409,137.5364,15.5518,0.6812,2103.91
0023_0.85_0.12.jpg,DCP (Dark Channel Prior),7.1164,62.711,85.1576,15.1719,67.648,14.8668,0.8544,107.33
0023_0.85_0.12.jpg,CLAHE (LAB),7.2804,48.6179,31.297,33.1751,130.4492,13.7212,0.6432,118.72
0023_0.85_0.12.jpg,"MSRCR (σ=[15,80,250])",6.749,101.9229,36.6317,54.5604,120.7511,13.0665,0.5189,2417.15
0036_1_0.08.jpg,DCP (Dark Channel Prior),7.3449,49.6964,21.1561,46.1154,87.4042,10.9431,0.7639,95.6
0036_1_0.08.jpg,CLAHE (LAB),7.4274,61.3932,6.8487,84.3011,161.5456,18.7456,0.8211,123.95
0036_1_0.08.jpg,"MSRCR (σ=[15,80,250])",6.5706,99.185,21.1775,120.3589,143.2908,14.8768,0.6057,2194.56
0026_0.95_0.08.jpg,DCP (Dark Channel Prior),7.6123,70.001,76.8686,47.1668,88.3143,16.7282,0.8657,90.27
0026_0.95_0.08.jpg,CLAHE (LAB),7.6989,61.9747,25.0664,67.1159,138.8818,16.2215,0.782,110.46
0026_0.95_0.08.jpg,"MSRCR (σ=[15,80,250])",6.7149,99.3108,40.5835,88.535,133.286,14.6973,0.6175,2563.95
0039_0.9_0.2.jpg,DCP (Dark Channel Prior),7.5884,68.3703,30.5832,93.8014,93.9591,18.9402,0.9196,157.72
0039_0.9_0.2.jpg,CLAHE (LAB),7.6541,62.3904,11.5376,118.2316,142.2556,14.2688,0.7339,174.19
0039_0.9_0.2.jpg,"MSRCR (σ=[15,80,250])",6.3203,102.6228,20.7645,173.5103,129.5226,15.0597,0.6655,2502.22
0034_0.9_0.16.jpg,DCP (Dark Channel Prior),7.2947,54.3095,37.2865,35.6841,66.7995,14.7366,0.7996,94.19
0034_0.9_0.16.jpg,CLAHE (LAB),7.5232,54.6481,14.0249,57.4833,139.8065,14.8606,0.7541,112.95
0034_0.9_0.16.jpg,"MSRCR (σ=[15,80,250])",6.6293,97.2926,24.7423,95.5752,127.7159,14.1737,0.5625,2757.45
0025_0.8_0.16.jpg,DCP (Dark Channel Prior),7.5879,63.6844,73.2023,72.3275,87.1027,18.7355,0.8704,119.53
0025_0.8_0.16.jpg,CLAHE (LAB),7.5255,50.2341,20.0527,88.2487,137.0769,14.6542,0.7938,129.25
0025_0.8_0.16.jpg,"MSRCR (σ=[15,80,250])",7.1111,95.2074,45.9861,143.0098,124.0535,14.7636,0.6365,2856.26
0047_0.9_0.12.jpg,DCP (Dark Channel Prior),6.4783,99.1978,20.7965,47.26,111.152,22.7094,0.8591,51.56
0047_0.9_0.12.jpg,CLAHE (LAB),6.8382,72.1609,5.8563,72.5295,149.3266,16.3622,0.7321,3.95
0047_0.9_0.12.jpg,"MSRCR (σ=[15,80,250])",5.4454,109.8012,10.321,103.671,122.9881,18.7641,0.6491,664.14
0046_0.9_0.16.jpg,DCP (Dark Channel Prior),7.073,55.0734,17.7483,33.3064,73.7184,16.283,0.7812,80.06
0046_0.9_0.16.jpg,CLAHE (LAB),7.1269,48.3387,5.2063,42.5362,145.6091,13.2687,0.6863,4.8
0046_0.9_0.16.jpg,"MSRCR (σ=[15,80,250])",6.1621,105.2596,17.4525,70.0272,137.2159,12.9892,0.544,968.64
0048_0.9_0.2.jpg,DCP (Dark Channel Prior),7.5238,48.5646,73.3277,62.8092,110.874,16.1454,0.8071,64.96
0048_0.9_0.2.jpg,CLAHE (LAB),7.1896,42.471,20.9734,63.0585,161.4565,16.0346,0.851,4.02
0048_0.9_0.2.jpg,"MSRCR (σ=[15,80,250])",7.106,80.2201,51.2352,103.7195,140.0345,15.0336,0.6485,958.51
0042_0.8_0.2.jpg,DCP (Dark Channel Prior),7.155,43.607,26.4495,78.1933,81.4099,12.3405,0.8356,142.57
0042_0.8_0.2.jpg,CLAHE (LAB),7.4929,52.7711,13.0761,98.797,148.2834,17.1991,0.843,7.44
0042_0.8_0.2.jpg,"MSRCR (σ=[15,80,250])",6.9964,82.6654,37.5911,158.5401,127.3718,15.5228,0.6162,2043.04
0045_0.8_0.16.jpg,DCP (Dark Channel Prior),7.3808,46.1834,22.0098,37.5513,97.9804,9.7764,0.6864,140.15
0045_0.8_0.16.jpg,CLAHE (LAB),6.9322,46.1351,6.5885,42.0857,180.0199,17.8028,0.8863,4.93
0045_0.8_0.16.jpg,"MSRCR (σ=[15,80,250])",6.509,72.9871,19.9724,62.6096,148.1669,14.2664,0.6953,2365.46
0051_0.8_0.2.jpg,DCP (Dark Channel Prior),6.7937,69.8456,13.0024,52.0697,88.526,20.3977,0.9499,103.61
0051_0.8_0.2.jpg,CLAHE (LAB),7.2285,60.1568,8.679,99.3944,143.3695,13.7449,0.7193,116.49
0051_0.8_0.2.jpg,"MSRCR (σ=[15,80,250])",6.156,98.9617,23.2789,165.8461,123.9717,14.1654,0.597,1687.15
